"Positions","Putouts","Assists","Errors"
"1B",1,0.209445585215606,0.296296296296296
"1B",0.758345428156749,0.180698151950719,0.481481481481481
"1B",0.774310595065312,0.322381930184805,0.518518518518518
"1B",0.886792452830189,0.285420944558522,0.555555555555556
"1B",0.689767779390421,0.140657084188912,0.222222222222222
"1B",0.346637639090469,0.0698151950718686,0.222222222222222
"1B",0.613933236574746,0.172484599589322,0.333333333333333
"1B",0.586357039187228,0.2217659137577,0.0740740740740741
"1B",0.909288824383164,0.227926078028747,0.407407407407407
"1B",0.896952104499274,0.201232032854209,0.666666666666667
"1B",0.394049346879536,0.12217659137577,0.148148148148148
"1B",0.371190130624093,0.0924024640657084,0.259259259259259
"1B",0.88388969521045,0.213552361396304,0.37037037037037
"1B",0.584179970972424,0.082135523613963,0.148148148148148
"1B",0.934687953555878,0.25564681724846,0.203703703703704
"1B",0.661828737300435,0.180698151950719,0.333333333333333
"1B",0.857764876632801,0.197125256673511,0.481481481481481
"1B",0.957910014513788,0.340862422997947,0.62962962962963
"1B",0.841799709724238,0.108829568788501,0.259259259259259
"1B",0.391872278664732,0.0893223819301848,0.222222222222222
"1B",0.638606676342525,0.168377823408624,0.518518518518518
"1B",0.452104499274311,0.0718685831622177,0.111111111111111
"1B",0.888243831640058,0.236139630390144,0.407407407407407
"1B",0.95355587808418,0.268993839835729,0.444444444444444
"2B",0.204644412191582,1,0.703703703703704
"2B",0.0881712626995646,0.298767967145791,0.203703703703704
"2B",0.21988388969521,0.924024640657084,0.518518518518518
"2B",0.0950653120464441,0.490759753593429,0.259259259259259
"2B",0.160014513788099,0.715605749486653,0.185185185185185
"2B",0.26632801161103,0.975359342915811,0.703703703703704
"2B",0.254716981132075,0.907597535934292,0.62962962962963
"2B",0.200290275761974,0.864476386036961,0.407407407407407
"2B",0.190130624092888,0.675564681724846,0.592592592592593
"2B",0.229317851959361,0.901437371663244,0.37037037037037
"2B",0.26632801161103,0.887063655030801,0.592592592592593
