"time","sunspots"
1749,58
1749.08333333333,62.6
1749.16666666667,70
1749.25,55.7
1749.33333333334,85
1749.41666666667,83.5
1749.50000000001,94.8
1749.58333333334,66.3
1749.66666666668,75.9
1749.75000000001,75.5
1749.83333333335,158.6
1749.91666666668,85.2
1750.00000000001,73.3
1750.08333333335,75.9
1750.16666666668,89.2
1750.25000000002,88.3
1750.33333333335,90
1750.41666666669,100
1750.50000000002,85.4
1750.58333333336,103
1750.66666666669,91.2
1750.75000000002,65.7
1750.83333333336,63.3
1750.91666666669,75.4
1751.00000000003,70
1751.08333333336,43.5
1751.1666666667,45.3
1751.25000000003,56.4
1751.33333333337,60.7
1751.4166666667,50.7
1751.50000000004,66.3
1751.58333333337,59.8
1751.6666666667,23.5
1751.75000000004,23.2
1751.83333333337,28.5
1751.91666666671,44
1752.00000000004,35
1752.08333333338,50
1752.16666666671,71
1752.25000000005,59.3
1752.33333333338,59.7
1752.41666666672,39.6
1752.50000000005,78.4
1752.58333333338,29.3
1752.66666666672,27.1
1752.75000000005,46.6
1752.83333333339,37.6
1752.91666666672,40
1753.00000000006,44
1753.08333333339,32
1753.16666666673,45.7
1753.25000000006,38
1753.33333333339,36
1753.41666666673,31.7
1753.50000000006,22.2
1753.5833333334,39
1753.66666666673,28
1753.75000000007,25
1753.8333333334,20
1753.91666666674,6.7
1754.00000000007,0
1754.08333333341,3
1754.16666666674,1.7
1754.25000000007,13.7
1754.33333333341,20.7
1754.41666666674,26.7
1754.50000000008,18.8
1754.58333333341,12.3
1754.66666666675,8.2
1754.75000000008,24.1
1754.83333333342,13.2
1754.91666666675,4.2
1755.00000000009,10.2
1755.08333333342,11.2
1755.16666666675,6.8
1755.25000000009,6.5
1755.33333333342,0
1755.41666666676,0
1755.50000000009,8.6
1755.58333333343,3.2
1755.66666666676,17.8
1755.7500000001,23.7
1755.83333333343,6.8
1755.91666666676,20
1756.0000000001,12.5
1756.08333333343,7.1
1756.16666666677,5.4
1756.2500000001,9.4
1756.33333333344,12.5
1756.41666666677,12.9
1756.50000000011,3.6
1756.58333333344,6.4
1756.66666666678,11.8
1756.75000000011,14.3
1756.83333333344,17
1756.91666666678,9.4
1757.00000000011,14.1
1757.08333333345,21.2
1757.16666666678,26.2
1757.25000000012,30
1757.33333333345,38.1
1757.41666666679,12.8
1757.50000000012,25
1757.58333333346,51.3
1757.66666666679,39.7
1757.75000000012,32.5
1757.83333333346,64.7
1757.91666666679,33.5
1758.00000000013,37.6
1758.08333333346,52
1758.1666666668,49
1758.25000000013,72.3
1758.33333333347,46.4
1758.4166666668,45
1758.50000000013,44
1758.58333333347,38.7
1758.6666666668,62.5
1758.75000000014,37.7
1758.83333333347,43
1758.91666666681,43
1759.00000000014,48.3
1759.08333333348,44
1759.16666666681,46.8
1759.25000000015,47
1759.33333333348,49
1759.41666666681,50
1759.50000000015,51
1759.58333333348,71.3
1759.66666666682,77.2
1759.75000000015,59.7
1759.83333333349,46.3
1759.91666666682,57
1760.00000000016,67.3
1760.08333333349,59.5
1760.16666666683,74.7
1760.25000000016,58.3
1760.33333333349,72
1760.41666666683,48.3
1760.50000000016,66
1760.5833333335,75.6
1760.66666666683,61.3
1760.75000000017,50.6
1760.8333333335,59.7
1760.91666666684,61
1761.00000000017,70
1761.0833333335,91
1761.16666666684,80.7
1761.25000000017,71.7
1761.33333333351,107.2
1761.41666666684,99.3
1761.50000000018,94.1
1761.58333333351,91.1
1761.66666666685,100.7
1761.75000000018,88.7
1761.83333333352,89.7
1761.91666666685,46
1762.00000000018,43.8
1762.08333333352,72.8
1762.16666666685,45.7
1762.25000000019,60.2
1762.33333333352,39.9
1762.41666666686,77.1
1762.50000000019,33.8
1762.58333333353,67.7
1762.66666666686,68.5
1762.7500000002,69.3
1762.83333333353,77.8
1762.91666666686,77.2
1763.0000000002,56.5
1763.08333333353,31.9
1763.16666666687,34.2
1763.2500000002,32.9
1763.33333333354,32.7
1763.41666666687,35.8
1763.50000000021,54.2
1763.58333333354,26.5
1763.66666666687,68.1
1763.75000000021,46.3
1763.83333333354,60.9
1763.91666666688,61.4
1764.00000000021,59.7
1764.08333333355,59.7
1764.16666666688,40.2
1764.25000000022,34.4
1764.33333333355,44.3
1764.41666666689,30
1764.50000000022,30
1764.58333333355,30
1764.66666666689,28.2
1764.75000000022,28
1764.83333333356,26
1764.91666666689,25.7
1765.00000000023,24
1765.08333333356,26
1765.1666666669,25
1765.25000000023,22
1765.33333333357,20.2
1765.4166666669,20
1765.50000000023,27
1765.58333333357,29.7
1765.6666666669,16
1765.75000000024,14
1765.83333333357,14
1765.91666666691,13
1766.00000000024,12
1766.08333333358,11
1766.16666666691,36.6
1766.25000000024,6
1766.33333333358,26.8
1766.41666666691,3
1766.50000000025,3.3
1766.58333333358,4
1766.66666666692,4.3
1766.75000000025,5
1766.83333333359,5.7
1766.91666666692,19.2
1767.00000000026,27.4
1767.08333333359,30
1767.16666666692,43
1767.25000000026,32.9
1767.33333333359,29.8
1767.41666666693,33.3
1767.50000000026,21.9
1767.5833333336,40.8
1767.66666666693,42.7
1767.75000000027,44.1
1767.8333333336,54.7
1767.91666666694,53.3
1768.00000000027,53.5
