"id","disp.sunshine","disp.kleebler","disp.nabisco","disp.private","feat.sunshine","feat.kleebler","feat.nabisco","feat.private","price.sunshine","price.kleebler","price.nabisco","price.private","choice"
1,0,0,0,0,0,0,0,0,98.000002,88,120,70.999998,"nabisco"
1,0,0,0,0,0,0,0,0,99.000001,109,99.000001,70.999998,"nabisco"
1,1,0,0,0,0,0,0,0,49.000001,109,109,77.999997,"sunshine"
1,0,0,0,0,0,0,0,0,103,109,88.999999,77.999997,"nabisco"
1,0,0,0,0,0,0,0,0,109,109,119.00001,63.999999,"nabisco"
1,0,0,0,0,0,0,0,0,88.999999,109,119.00001,83.999997,"nabisco"
1,0,0,1,0,0,0,0,0,109,109,129,77.999997,"sunshine"
1,0,0,1,0,0,0,0,0,109,119.00001,129,77.999997,"nabisco"
1,0,0,1,0,0,0,0,0,109,121,109,77.999997,"nabisco"
1,1,0,1,0,0,0,0,0,79.000002,121,109,77.999997,"nabisco"
1,0,0,1,0,0,0,0,0,109,113,109,95.999998,"nabisco"
1,0,0,0,0,0,0,0,0,109,121,99.000001,86.000001,"nabisco"
1,1,0,0,0,0,0,0,0,88.999999,121,99.000001,86.000001,"nabisco"
1,0,1,1,0,0,0,0,0,109,109,129,95.999998,"nabisco"
1,0,0,0,0,0,0,0,0,109,109,129,79.000002,"nabisco"
1,0,0,1,0,0,0,0,0,129,104,129,95.999998,"nabisco"
2,0,0,0,0,0,0,0,0,79.000002,99.000001,69,69,"nabisco"
2,1,0,1,0,1,0,0,0,69,105,88.999999,64.999998,"sunshine"
2,1,0,0,0,1,0,0,0,79.000002,125,105.99999,69,"sunshine"
2,1,0,0,0,0,0,0,0,79.000002,125,105.99999,69,"sunshine"
2,0,0,1,0,0,0,0,0,79.000002,125,99.000001,69,"sunshine"
2,0,0,0,1,0,0,1,1,97.000003,115,109,56.999999,"sunshine"
2,1,0,1,0,0,0,0,0,79.000002,135,109,64.999998,"sunshine"
2,0,1,0,0,0,0,0,0,97.000003,99.000001,125,60.000002,"kleebler"
2,0,0,0,0,0,0,0,0,109,135,129,73.000002,"sunshine"
2,0,0,0,0,0,0,0,0,109,135,115,75.999999,"sunshine"
2,0,1,1,0,0,0,0,0,105,125,99.000001,58.999997,"nabisco"
2,0,1,0,0,0,1,0,0,105,99.000001,129,58.999997,"kleebler"
2,0,0,0,0,0,0,0,0,88.999999,135,104,88.999999,"sunshine"
2,0,0,1,0,0,0,0,0,105,129,99.000001,58.999997,"nabisco"
2,0,0,1,0,0,0,0,0,105,129,99.000001,64.999998,"nabisco"
2,0,0,0,0,0,0,0,0,105,129,129,64.999998,"sunshine"
3,0,0,0,0,0,0,0,0,68.000001,88,88,58.999997,"nabisco"
3,0,0,0,0,0,0,0,0,99.000001,109,99.000001,79.000002,"private"
3,0,0,0,0,0,0,0,0,103,109,88.999999,55.000001,"private"
3,1,0,0,1,0,0,0,1,88.999999,104,99.000001,50,"private"
3,0,0,0,0,0,0,0,0,98.000002,109,88.999999,69,"private"
3,0,0,0,0,0,0,0,0,109,109,119.00001,88.999999,"private"
3,0,0,0,0,0,0,0,0,97.000003,115,99.000001,61.000001,"nabisco"
3,0,0,1,0,0,0,0,0,97.000003,125,109,61.000001,"nabisco"
3,0,0,0,0,0,1,0,0,97.000003,99.000001,125,61.000001,"nabisco"
3,0,0,0,0,0,0,0,0,79.000002,121,109,88.999999,"private"
3,0,1,1,0,0,0,0,0,103,109,109,61.000001,"nabisco"
3,0,0,0,0,0,0,0,0,109,129,125,61.000001,"nabisco"
3,0,0,0,0,0,0,0,0,105,129,125,61.000001,"nabisco"
3,0,0,0,1,0,0,0,1,93.000001,119.00001,98.000002,68.000001,"private"
4,0,0,0,0,0,0,0,0,98.000002,99.000001,109,55.000001,"private"
4,0,0,0,0,0,0,0,0,99.000001,109,94.999999,55.000001,"private"
4,0,0,0,0,0,0,0,0,99.000001,109,99.000001,55.000001,"private"
4,0,0,1,0,0,0,0,0,88.999999,99.000001,113,69,"private"
4,0,0,0,0,0,0,0,0,103,109,88.999999,55.000001,"private"
4,0,0,0,0,0,0,0,0,79.000002,105,109,55.000001,"private"
4,0,0,0,0,0,0,0,0,103,109,119.00001,55.000001,"private"
4,0,0,0,0,0,0,0,0,99.000001,119.00001,99.000001,55.000001,"private"
4,0,0,0,0,0,0,0,0,109,119.00001,99.000001,55.000001,"private"
4,0,0,0,0,0,0,0,0,88.999999,109,119.00001,55.000001,"private"
4,0,0,0,0,0,0,0,0,98.000002,119.00001,99.000001,55.000001,"private"
4,0,0,0,0,0,0,0,0,98.000002,119.00001,99.000001,55.000001,"private"
4,0,0,1,0,0,0,0,0,98.000002,121,119.00001,55.000001,"private"
4,0,0,0,0,0,0,0,0,98.000002,121,119.00001,55.000001,"private"
4,0,0,0,0,0,0,0,0,98.000002,121,119.00001,55.000001,"private"
4,0,0,1,0,0,0,0,0,98.000002,119.00001,129,55.000001,"private"
4,0,0,0,0,0,0,0,0,98.000002,119.00001,129,55.000001,"private"
4,0,0,0,0,0,0,0,0,98.000002,121,109,55.000001,"private"
4,0,0,0,0,0,0,0,0,79.000002,121,109,55.000001,"private"
4,0,0,1,0,0,0,0,0,109,109,109,58.999997,"private"
4,0,0,1,0,0,0,0,0,109,121,129,58.999997,"private"
4,0,0,0,0,0,0,0,0,109,121,109,58.999997,"private"
4,0,0,1,0,0,0,0,0,88.999999,121,99.000001,58.999997,"private"
4,0,1,1,0,0,0,0,0,109,109,129,58.999997,"private"
4,0,0,0,0,0,0,0,0,119.00001,129,129,88.999999,"private"
4,0,0,1,0,0,0,0,0,94.999999,125,99.000001,58.999997,"private"
4,0,0,1,0,0,0,0,0,94.999999,119.00001,129,58.999997,"private"
4,0,0,0,0,0,0,0,0,94.999999,104,99.000001,58.999997,"private"
4,0,0,0,0,0,0,0,0,94.999999,104,123,58.999997,"private"
5,0,0,0,0,0,0,0,0,69,88.999999,105.99999,68.000001,"kleebler"
5,1,0,0,0,0,0,0,0,88.999999,108,88.999999,68.000001,"nabisco"
5,0,0,0,0,0,0,0,0,98.000002,109,88.999999,77.999997,"nabisco"
5,0,0,0,0,0,0,0,0,99.000001,109,119.00001,70.999998,"kleebler"
5,0,0,0,0,0,0,0,0,88.999999,109,119.00001,83.999997,"nabisco"
5,0,0,0,0,0,1,0,0,109,99.000001,126,68.000001,"kleebler"
5,0,0,1,0,0,0,0,0,88,125,109,64.999998,"kleebler"
5,0,1,0,0,0,0,0,0,97.000003,99.000001,125,61.000001,"kleebler"
5,0,0,0,0,0,1,1,0,104,109,109,68.000001,"kleebler"
5,0,0,0,0,0,0,0,0,97.000003,125,125,64.999998,"kleebler"
5,0,0,0,0,0,0,0,0,109,121,109,83.999997,"nabisco"
5,0,0,1,1,0,0,0,0,105,125,129,64.999998,"kleebler"
5,0,0,1,0,0,0,0,0,105,125,99.000001,61.000001,"kleebler"
5,0,0,0,0,0,0,1,0,105,99.000001,99.000001,64.999998,"kleebler"
6,0,0,0,0,0,0,0,0,69,88,88.999999,67.000002,"private"
6,1,0,0,0,0,0,0,0,85.000002,98.000002,88.999999,68.000001,"nabisco"
6,0,0,1,0,0,0,0,0,99.000001,109,99.000001,55.000001,"private"
6,0,0,0,0,0,0,0,0,103,109,88.999999,55.000001,"private"
6,0,0,0,0,0,0,0,0,103,109,76.999998,77.999997,"nabisco"
6,0,0,0,0,0,0,0,0,79.000002,105,109,55.000001,"private"
6,0,0,0,0,0,0,0,0,98.000002,109,88.999999,55.000001,"private"
6,0,0,0,0,0,0,0,0,88.999999,102,115,64.999998,"nabisco"
6,0,0,0,0,0,0,0,0,103,109,119.00001,55.000001,"private"
