"id","disp.heinz41","disp.heinz32","disp.heinz28","disp.hunts32","feat.heinz41","feat.heinz32","feat.heinz28","feat.hunts32","price.heinz41","price.heinz32","price.heinz28","price.hunts32","choice"
1,0,0,0,0,0,0,0,0,4.6,3.7,5.2000001,3.4000002,"heinz28"
1,0,0,0,0,0,0,0,0,4.6,4.3000001,5.2000001,4.4,"heinz28"
1,0,0,0,0,0,1,0,0,4.6,2.5,4.6,4.8,"heinz28"
1,0,0,0,0,0,0,0,0,4.6,3.7,5.2000001,3.4000002,"heinz28"
1,0,0,0,0,0,0,1,0,4.6,2.9999999,4.6,4.8,"heinz28"
1,0,0,0,0,0,0,0,0,5.0000001,2.9999999,4.6999998,2.9999999,"heinz28"
1,0,0,0,1,0,0,0,1,5.0999999,3.0999999,4.6,4.1000001,"heinz28"
1,0,0,0,0,0,0,0,0,4.6,3.4000002,4.6999998,3.0999999,"heinz41"
1,0,0,0,0,0,0,0,0,5.0000001,3.4000002,4.6999998,3.0999999,"heinz28"
1,0,0,0,1,0,0,0,0,5.0000001,3.4000002,5.0000001,2.8000001,"heinz28"
1,0,0,0,0,0,0,0,0,4.5000002,3.2000002,5.0000001,4.1000001,"heinz28"
1,0,0,0,0,0,0,0,0,5.0000001,3.7,5.0000001,3.4000002,"heinz28"
1,0,0,0,0,0,0,0,0,5.0000001,3.7,5.2999999,3.7,"heinz28"
1,0,0,1,0,0,0,0,0,5.2000001,3.7,3.5999998,3.7,"heinz28"
2,0,0,0,0,0,0,0,0,4.6,3.7,5.2000001,3.7,"heinz28"
2,0,0,0,0,0,0,0,0,4.6,3.0999999,5.2000001,3.4000002,"heinz32"
2,0,0,0,0,0,0,0,0,4.6,1.7999999,5.2000001,3.4000002,"heinz32"
2,0,0,0,0,1,0,0,0,4.6,3.0999999,4.1999999,3.5,"heinz28"
2,0,0,0,0,0,0,0,0,5.0000001,3.4000002,5.0000001,3.0999999,"heinz28"
2,0,0,0,0,0,0,0,0,4.4,3.7,4.3000001,3.4000002,"heinz28"
2,0,0,0,0,0,0,0,0,5.0000001,3.7,3.9000001,3.7,"heinz28"
3,0,0,0,0,0,0,0,0,4.6,2.8000001,5.2000001,3.5999998,"heinz32"
3,0,0,0,0,0,0,0,0,4.6,3.7,5.2000001,3.4000002,"heinz32"
3,0,0,0,0,0,0,0,0,4.6,2.8000001,5.2000001,3.7,"heinz32"
3,0,0,0,0,0,0,0,0,4.6,3.7,4.6999998,3.5,"heinz32"
3,0,0,1,0,0,0,0,0,5.0000001,3.7,3.9000001,3.4000002,"heinz28"
