"ipip","wage1992","prtyid","ideol","gender"
3,0.614226460456848,7,5,1
4,0.52042031288147,5,5,1
4,0.267989993095398,7,6,1
1,0.261489987373352,1,4,1
3,0.293726891279221,2,3.85684084892273,1
4,0.464700013399124,5,3,0
3,0.673849999904633,3,5,1
5,0.41356372833252,4,2,1
2,0.600469946861267,1,1,1
4,0.785520017147064,2,3,1
3,0.367390006780624,5,2,0
3,0.387620002031326,7,4,0
5,0.394959986209869,7.356285572052,8.80829906463623,1
3,0.312420010566711,5,3.71690011024475,1
4,1.13774001598358,4,4,0
3,0.600469946861267,7,6,1
3,0.461620002985001,6,4,0
4,0.785520017147064,1,4.73858070373535,0
3,0.408399999141693,5,3,1
5,0.518409967422485,7,4,1
4,0.267989993095398,3,2,0
3,0.265219986438751,3,5.55693340301514,1
4,0.614226460456848,3,5,1
3,0.189596280455589,4,3,0
5,0.629591464996338,7,6,1
3,0.180132806301117,3,6,1
2,0.581430017948151,5,2.68427300453186,1
3,0.408399999141693,2,5.49480152130127,1
5,0.261489987373352,4,2.99466276168823,1
3,0.485562473535538,5,4.26298999786377,1
5,0.267989993095398,1,3.54553914070129,1
5,0.408399999141693,6,5.21584463119507,0
4,0.440597921609879,6,4,1
3,0.394959986209869,2,4,1
3,0.511519968509674,1,4.94037485122681,0
3,0.785520017147064,6,4.66143560409546,0
5,0.785520017147064,5,6,0
3,0.614226460456848,4,2.86839699745178,0
3,0.673849999904633,5,6,0
2,0.65021002292633,2,3,1
3,0.592509984970093,5,5,0
3,0.644749999046326,6,3,1
4,0.267989993095398,6,5,0
5,0.614226460456848,2,5,0
3,0.323260694742203,1,4,1
3,0.701979994773865,2,3,1
5,0.427269995212555,6,6,1
3,0.189989998936653,6,4,1
3,0.511519968509674,2,3.12584805488586,0
4,0.518409967422485,7,7,0
5,0.335929989814758,5,4,1
2,0.65021002292633,1,2,0
3,0.592509984970093,7,4,0
4,0.367390006780624,4,4,0
4,0.387620002031326,5,5.21476697921753,0
3,0.785520017147064,6,3,0
3,0.320780009031296,1,6,1
3,0.394959986209869,7,6,1
5,0.785520017147064,7,6,1
5,0.267989993095398,2,2,0
3,0.414970010519028,7,6,0
5,0.309140026569366,4,3,0
4,0.406390011310577,1,2,1
3,0.673849999904633,7,6,1
5,0.511519968509674,1,2,0
3,0.614226460456848,2,2,0
3,0.261489987373352,2,4.51805591583252,1
4,0.600469946861267,1,5,1
5,0.785520017147064,7,7,0
5,0.457459777593613,1,5,1
3,0.364969998598099,5,5,0
3,0.320780009031296,3.45797395706177,7,1
3,0.336679995059967,2,4.79878187179565,0
2,0.390350013971329,3,4,0
3,0.785520017147064,7,4,0
3,0.446730017662048,5,4,0
3,0.465169280767441,7,6,1
1,0.309140026569366,7,4,0
2,0.408399999141693,7,4,1
3,0.592509984970093,7,2,0
3,0.662460029125214,1,2,0
4,0.267989993095398,2,3.02731704711914,1
5,0.592509984970093,3,5,0
3,0.903599977493286,2,2,0
5,0.477019995450974,5,3.65700817108154,0
3,0.545379996299744,5,4.31898355484009,0
5,0.688880026340485,5,6,1
5,0.309140026569366,2,3.35172033309937,0
3,0.265219986438751,4,6.03836250305176,0
4,0.592509984970093,1,2,1
3,0.701979994773865,7,6,1
3,0.903599977493286,5,5,0
3,0.408600002527237,1,4.29859495162964,0
3,0.785520017147064,1,2,1
4,0.529449999332428,1,4,0
4,0.320780009031296,7,2,1
5,0.364969998598099,5,3,1
3,0.361250013113022,2,3.93053841590881,1
5,0.662460029125214,4,3.48522067070007,0
3,0.673849999904633,4,5,1
4,0.710443675518036,5,4,1
3,0.532429993152618,1,5.4892725944519,0
3,0.440597921609879,1,2,0
4,0.367390006780624,4,4.60558748245239,0
3,0.785520017147064,5,5,0
4,0.688880026340485,2,5,0
4,0.385200023651123,4,3.68585324287415,0
4,0.204372897744179,3,6,1
5,0.701979994773865,6,4,0
3,0.401980012655258,1,4,0
3,0.49544495344162,5,5.00046730041504,1
3,0.343410015106201,2,3.3656895160675,1
2,0.65021002292633,4,3,1
1,0.55056881904602,7,6,0
3,0.343410015106201,4,4,0
3,0.785520017147064,6,5,0
4,0.592509984970093,1,4,0
3,0.430590927600861,1,6,0
