"ipip","wage1992","prtyid","ideol","gender"
3,0.614226460456848,7,5,1
4,0.348619908094406,5,5,1
4,0.267989993095398,7,6,1
1,0.261489987373352,1,4,1
3,0.465243816375732,2,3.58852648735046,1
4,0.464700013399124,5,3,0
3,0.673849999904633,3,5,1
5,0.604812622070312,4,2,1
2,0.600469946861267,1,1,1
4,0.785520017147064,2,3,1
3,0.367390006780624,5,2,0
3,0.387620002031326,7,4,0
2,0.394959986209869,4.80730485916138,5.59395360946655,1
3,0.312420010566711,5,3.95429515838623,1
5,1.13774001598358,4,4,0
3,0.600469946861267,7,6,1
3,0.461620002985001,6,4,0
4,0.785520017147064,1,1.35831713676453,0
3,0.408399999141693,5,3,1
5,0.518409967422485,7,4,1
2,0.267989993095398,3,2,0
3,0.265219986438751,3,4.77949905395508,1
4,0.614226460456848,3,5,1
3,0.347332656383514,4,3,0
5,0.511986494064331,7,6,1
3,0.38227766752243,3,6,1
2,0.581430017948151,5,5.32385349273682,1
3,0.408399999141693,2,3.22785425186157,1
4,0.261489987373352,4,3.74376058578491,1
3,0.540566086769104,5,5.53724098205566,1
5,0.267989993095398,1,4.73260688781738,1
5,0.408399999141693,6,4.64205980300903,0
4,0.440597921609879,6,4,1
3,0.394959986209869,2,4,1
3,0.511519968509674,1,4.44313764572144,0
3,0.785520017147064,6,4.16253805160522,0
5,0.785520017147064,5,6,0
3,0.614226460456848,4,4.3631443977356,0
3,0.673849999904633,5,6,0
2,0.65021002292633,2,3,1
3,0.592509984970093,5,5,0
3,0.644749999046326,6,3,1
4,0.267989993095398,6,5,0
5,0.614226460456848,2,5,0
3,0.577616512775421,1,4,1
3,0.701979994773865,2,3,1
5,0.427269995212555,6,6,1
3,0.189989998936653,6,4,1
3,0.511519968509674,2,2.25970363616943,0
4,0.518409967422485,7,7,0
5,0.335929989814758,5,4,1
2,0.65021002292633,1,2,0
3,0.592509984970093,7,4,0
4,0.367390006780624,4,4,0
1,0.387620002031326,5,3.67679023742676,0
3,0.785520017147064,6,3,0
3,0.320780009031296,1,6,1
3,0.394959986209869,7,6,1
5,0.785520017147064,7,6,1
5,0.267989993095398,2,2,0
